Aide au démarrage en côte,Alimentation électrique,Allumage automatique des feux,Bouton Start & Stop,Clé intelligente,Climatisation,Détecteur de pluie,Direction assistée,Fermeture centralisée,Frein de stationnement éléctrique,Limiteur de vitesse,Ordinateur de bord,Régulateur de vitesse,Rétroviseur intérieur,Rétroviseurs extérieurs,Sélecteur de modes de conduite,Sièges avant réglables en hauteur,Système Start & Stop,Vitres électriques,Volant réglable,Accoudoirs,Appuis têtes arrières,Autoradio,Connectivité,Ecran,Pommeau de levier de vitesse,Sellerie,Sièges,Tableau de bord,Vitres,Volant,Aide au stationnement,Antibrouillards,Eléments extérieurs couleur carrosserie,Feux à LED,Jantes,Phares,Spoiler arrière,Carrosserie,Hauteur,Largeur,Longueur,Nombre de places,Nombre de portes,Peinture,Volume du coffre,0-100 Km/h,Consommation extra-urbaine,Consommation mixte,Consommation urbaine,Vitesse maxi,Boîte,Couple,Cylindrée,Energie,Nombre de cylindres,Nombre de rapports,Puissance (ch.din),Puissance fiscale,Transmission,ABS,Airbags,Anti-démarrage électronique,Anti-patinage,Assistance au freinage,Fixations ISOFIX,Surveillance d’angle mort,Garantie,prix,description,Modes de conduite,Dynamic Response,Autonomie électrique,Stores pare-soleil,Volume du coffre avant,Temps de recharge rapide,GPS,Consommation électrique,Capot moteur actif,Volume du coffre maximal,Lave Phares,Kit rangement,Détecteur de fatigue,Système de récupération d,Temps de recharge rapid,Détection des piétons,Kit sécurité,Instrumentation digitale,Coffre à bagages,Frein de stationnement,Emissions de CO2,Alerte de circulation transversale,Caméra d,Pack aérodynamique M,Caméra de recul,Ordinateur de Bord,Temps de recharge normale,Type,Aileron arrière,Sideblades,Contrôle de pression des pneus,Rétroviseur Intérieur,Volant et pommeau de levier de vitesse en cuir,Empattement,Tapis de sol,Rideau de benne,Arceau de benne,Éclairage d,Aide au Stationnement,Carte mains libres,Instrumentation numérique,Suspension,Contrôle du roulis de la remorque,Pack Sport Chrono,Financement,Boulons de roues protégés,Lumières d,Baguettes extérieures d,Sièges réglables en hauteur,Aide au maintien dans la voie,Airbags frontaux,Stabilisateur de vent latéral,Pédaliers,Cloison entre cabine et compartiment arrière,Consommation électrique WLTP,Fermeture assistée des portes,Différentiel autobloquant,Seuils de portes,Marchepieds latéraux,Ceintures de securite,Kit éclairage,Version pays chauds,Anti-Patinage,Alerte de franchissement de ligne,Ecran central,Sorties d’échappement,Puissance électrique,Caméra latérale,Magic Wash,Frein de parking électrique,SYSTÈME START & STOP,DSC,Freinage,Ciel de pavillon,Contrôle adaptatif de la charge,Voiture populaire,Radar de Stationnement,Nombre de moteurs électriques,ALARME ANTIVOL,Injection,ECRAN,Reconnaissance des panneaux,Kit fumeurs,Volume utile,RADAR DE STATIONNEMENT,Finition intérieure,Surface de chargement,Alarme antivol,Autonomie électrique WLTP,Navigation,4 roues directrices,Toit,Autonomie WLTP,Avertisseur de changement de voie,Contrôle de stabilité anti-retournement,Kit carrosserie,Affichage tête haute,Airbags rideaux,Frein de parking éléctrique,Charge utile,Boîte à gants réfrigérée,Assistant de feux de route,Poignées de portes,Feux de position à LED,Train roulant,Prise 12V,Airbags latéraux,Pneumatiques runflat,Baguettes extérieures d'encadrement des vitres,Préparation pour téléphone,Barre stabilisatrice,Poids total en charge,Spoiler Arrière,Barres de toit,Anti-démarrage,Pack nuit,Radar de stationnement,Système de descente en côte,Puissance avec overboost (ch.din),Clé Intelligente,Nombre de moteurs,Terrain Response,Degivrage lunette arriere,Autonomie NEDC,Conduite autonome,Boule d,Batterie,Lumières d'ambiance,Calandre,Couple électrique
Oui,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique,Oui,Électrique,À distance,,,Oui,Oui,,Électriques,,,,Avant/Arrière,En hauteur et en profondeur,Arrière | Avant conducteur,,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 8 pouces,Cuir,Cuir,Conducteur à réglage électrique | Réglage lombaire,,Parebrise athermique | Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions,Radar de recul | Caméra de recul,,,,En aluminium | 18,Full LED,,SUV,1500 mm,1800 mm,4165 mm,5,5,Two-tone,544 L,11.6 s,4.5 L/100 km,4.3 L/100 km,4 L/100 km,160 KM/H,Automatique,265 nm 1500 tr/min,1580 CM³,Essence | Hybride,4,6,141 CH,5 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,DBC,Oui,,5 ans ou 100000 km,129900 DT,Hyundai Kona Hybride1.6 L GDI Hybride BVA,,,,,,,,,,,,Poches aumônières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Périmétrique,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oui,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique,Oui,Électrique,À distance,,,Oui,Oui,,Électriques,,,,Avant/Arrière,En hauteur et en profondeur,Arrière | Avant conducteur,,4 haut-parleurs | Commandes au volant,USB | Apple Carplay | AUX | Android Auto | Bluetooth | Chargeur de téléphone sans fil,Tactile | 8 pouces,Cuir,Cuir,Conducteur à réglage électrique | Réglage lombaire,,Parebrise athermique | Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions,Radar de recul | Caméra de recul,,,,En aluminium | 17,Full LED,,SUV,1500 mm,1800 mm,4165 mm,5,5,Two-tone,544 L,7.4 s,5.1 L/100 km,5.6 L/100 km,6.5 L/100 km,210 KM/H,Automatique,265 nm 1500 tr/min,1598 CM³,Essence,4,7,200 CH,11 CV,Intégrale,Oui,Frontaux | Latéraux,Oui,ESP,DBC,Oui,,5 ans ou 100000 km,137000 DT,Hyundai Kona1.6 l T-GDI 7-DCT 4WD,,,,,,,,,,,,Poches aumônières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Périmétrique,,,,Ouvrant,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oui,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique,Oui,Électrique,À distance,,,Oui,Oui,,Électriques,,Conducteur et passager,,Avant/Arrière,En hauteur et en profondeur,Arrière | Avant conducteur,,4 haut-parleurs | Commandes au volant,USB | Apple Carplay | Android Auto | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.25,Cuir | N-Line,Cuir/Alcantara,Conducteur à réglage électrique | Réglage lombaire,,Parebrise athermique | Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | Sport | N-Line,Radar de recul | Caméra de recul,,,,En aluminium | 18,Full LED,,SUV,1500 mm,1800 mm,4165 mm,5,5,Two-tone,544 L,7.4 s,5.1 L/100 km,5.6 L/100 km,6.5 L/100 km,210 KM/H,Automatique,265 nm 1500 tr/min,1598 CM³,Essence,4,7,200 CH,11 CV,Intégrale,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,DBC,Oui,,5 ans ou 100000 km,149950 DT,Hyundai Kona1.6 L T-GDI 7-DCT 4WD N-Line,,,,,,,,,,,,Poches aumônières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Périmétrique,,,,Ouvrant,,,,N-Line,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 prise 12 V,Oui,,,Manuelle,,Oui,À distance,,,Oui,,,Électriques | Rabattables,Normal | Sport | Eco,,,Avant,En hauteur et en profondeur,,,Oui,2 USB | Bluetooth,,,Tissu,,,,Multi-fonctions,Radar de recul,,,,,,,Monospace,1990 mm,1997 mm,5253 mm,11,5,,,12.4 s,,8.7 L/100 km,,185 KM/H,Manuelle,430 nm 1500 tr/min,2199 CM³,Diesel,4,6,177 CH,8 CV,Traction,Oui,Frontaux | Latéraux,,,,,,5 ans ou 100000 km,159500 DT,Hyundai Staria 11 places2.2 CRDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oui,2 prises 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique | Bizone,Oui,Électrique,À distance,Oui,Oui,Oui,Adaptatif,Anti-éblouissement,Électriques | Rabattables | Dégivrants,Normal | Sport | Eco,Conducteur et passager,,Avant/Arrière,En hauteur et en profondeur,Avant conducteur,,Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,,Cuir,Électriques | Fonction mémoire,,Parebrise athermique | Lunette et vitres arrières sur-teintées,Multi-fonctions,Radar de recul | Radar avant | Système de caméras 360 | Détection du trafic en marche arrière,,,Feux de jour | Avant | Arrières,En aluminium | 19,Bi-LED,,SUV,1605 mm,1890 mm,4635 mm,5,5,,527 L,8.5 s,,,,185 KM/H,Automatique,350 nm 0 tr/min,,Electrique,,,166 CH,9 CV,Propulsion,Oui,Frontaux | Latéraux | Rideaux | Centraux,Oui,ESP,,Oui,BCA,5 ans ou 100000 km,168950 DT,Hyundai IONIQ 558 KWH 2WD HG,,,384 km,,57 L,18 minutes,,16.7 kWh/100 km,,1587 L,,,DAW,,,,,,,,0 g/km,,,,,,5 heures,,,,Oui,,,,Oui,,,,,,12.3,,,,,,LED,,,LKA | LFA,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Périmétrique,,,,Panoramique | En verre,,Oui,,,,,,,,AHBA,,,,,,,,,,,,,,,,,,,1,,,,,,58 kWh,,,
Oui,2 prises 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique | Bizone,Oui,Électrique,À distance,Oui,Oui,Oui,Adaptatif,Anti-éblouissement,Électriques | Rabattables | Dégivrants,Normal | Sport | Eco,Conducteur et passager,,Avant/Arrière,En hauteur et en profondeur,Avant conducteur,,Haut-parleurs Bose | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,,Cuir,Électriques | Chauffants | Ventilés | Fonction mémoire,,Parebrise athermique | Lunette et vitres arrières sur-teintées,Multi-fonctions,Radar de recul | Radar avant | Système de caméras 360 | Détection du trafic en marche arrière,,,Feux de jour | Avant | Arrières,En aluminium | 20,Bi-LED,,SUV,1605 mm,1890 mm,4635 mm,5,5,,527 L,5.2 s,,,,185 KM/H,Automatique,605 nm 0 tr/min,,Electrique,,,325 CH,21 CV,Intégrale,Oui,Frontaux | Latéraux | Rideaux | Centraux,Oui,ESP,,Oui,BCA,5 ans ou 100000 km,210950 DT,Hyundai IONIQ 577 KWh 4WD HG,,,476 km,,24 L,18 minutes,,19.1 kWh/100 km,,1587 L,,,DAW,,,,,,,,0 g/km,,,,,,7.4 heures,,,,Oui,,,,Oui,,,,,,12.3,,,,,,LED,,,LKA | LFA,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Périmétrique,,,,Panoramique | En verre,,Oui,,,,,,,,AHBA,,,,,,,,,,,,,,,,,,,2,,,,,,77.4 kWh,,,
HAC,2 prises 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique | Bizone | Ventilation arrière,,Électrique,À distance,Oui,Oui,Oui,Adaptatif,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Confort | Sport | Eco,Conducteur et passager,,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,,Haut-parleurs Bose | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Cuir,Cuir,Électriques | Chauffants | Ventilés | Réglage lombaire | Fonction mémoire,Cuir,Athermiques,Cuir | Multi-fonctions | Sport | Avec palettes,Radar de recul | Radar avant | Système de caméras 360,LED,Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 19,Full LED,,SUV,1650 mm,1850 mm,4475 mm,5,5,,536 L,8 s,,5.5 L/100 km,,193 KM/H,Automatique,350 nm 1500 tr/min,1598 CM³,Essence | Hybride,4,6,230 CH,9 CV,Traction,Oui,Frontaux | Latéraux | Rideaux | Centraux,Oui,ESP,EBD | DBC |  Freinage automatique anti-collision | FCA,Oui,Oui,5 ans,169950 DT,Hyundai Tucson Hybride1.6 L T-GDI 2WD Top Grade BVA 6,,,,,,,,,,,,Pack vide-poches et coffre à bagages | Poches aumônières,Oui,,,,,,Ouverture et fermeture motorisée,,,,,,,,,,,,,,,,,,,,,,10.25,,,,,,Oui,Chrome,,LKA | LFA,,,,,,,,Baguettes dans les baies de porte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Périmétrique,,,,Ouvrant | Panoramique,,,,,,,,,,Oui,Chromées,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,Noire,
Oui,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique | Bizone | Ventilation arrière,Oui,Oui,À distance,Oui,Oui,Oui,Adaptatif,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Confort | Sport | Eco,Conducteur et passager,,Avant/Arrière,En hauteur et en profondeur,Arrière | Avant conducteur,,6 haut-parleurs | Haut-parleurs Bose | Commandes au volant,USB | Apple Carplay | AUX | Android Auto | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.25,Cuir,Cuir,Électriques | Réglage lombaire,Cuir,Parebrise athermique | Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | Avec palettes,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360,Oui,Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 19,Full LED,,SUV,1665 mm,1865 mm,4630 mm,5,5,,513 L,9 s,5.4 L/100 km,6.3 L/100 km,7.9 L/100 km,201 KM/H,Automatique,265 nm 1500 tr/min,1598 CM³,Essence,4,7,180 CH,10 CV,Intégrale,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,,Oui,Oui,5 ans,179950 DT,Hyundai TUCSON1.6 l T-GDI 7-DCT 4WD Top Grade,,,,,,,Oui,,,,,Poches aumônières | Porte-lunettes,,,,,,,Ouverture et fermeture motorisée,,,,,,,,,,,,,,,,Oui,,,,,,10.25,,,,,,Oui,Chrome,,LKA | LFA,,,,,,,,Baguettes dans les baies de porte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Périmétrique,,,,Ouvrant | Panoramique,,,,,,,,,Oui,Oui,Chromées,,,,,,,,,,,Oui,,,,DBC,,,,,,,,,,,Noire,
,,Oui,,,Manuelle,,Oui,À distance,,,Oui,,,Électriques | Rabattables,Normal | Sport | Eco,,,Avant,En hauteur et en profondeur,,,Oui,2 USB | Bluetooth,,,Tissu,,,,Multi-fonctions,,,,,,,,Monospace,1990 mm,1997 mm,5253 mm,9,5,,,12.4 s,,8.7 L/100 km,,185 KM/H,Manuelle,430 nm 1500 tr/min,2199 CM³,Diesel,4,6,177 CH,11 CV,Traction,Oui,Frontaux | Latéraux,,,,,,5 ans ou 100000 km,189900 DT,Hyundai Staria 9 places2.2 CRDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oui,,,Manuelle,,Oui,À distance,,,Oui,,,Électriques | Rabattables,Normal | Sport | Eco,,,Avant,En hauteur et en profondeur,,,Oui,USB | AUX | Bluetooth,,,Tissu,,,,Multi-fonctions,,,,,,,,Monospace,1990 mm,1997 mm,5253 mm,9,5,,,12.4 s,,8.7 L/100 km,,185 KM/H,Automatique,430 nm 1500 tr/min,2199 CM³,Diesel,4,8,177 CH,11 CV,Intégrale,Oui,Frontaux,,,,,,5 ans ou 100000 km,210000 DT,Hyundai Staria 9 places2.2 CRDI 4WD BVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oui,Démarrage mains libres,Accès mains libres,Automatique,,Oui,À distance,,,Oui,Oui,,Électriques | Rabattables,Normal | Sport | Eco,,,Avant,En hauteur et en profondeur,,,Haut-parleurs Bose,USB | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 8 pouces,,Cuir | Nappa,,,,Cuir | Multi-fonctions,,,,,En aluminium | 18,,,Monospace,1990 mm,1997 mm,5253 mm,9,5,,,12.4 s,,8.7 L/100 km,,185 KM/H,Automatique,430 nm 1500 tr/min,2199 CM³,Diesel,4,8,177 CH,11 CV,Intégrale,Oui,Frontaux | Latéraux | Rideaux,,ESP,DBC,,Oui,5 ans ou 100000 km,280000 DT,Hyundai Staria 9 places2.2 CRDI 4WD Luxe BVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25,,,,,,,,,,,,,,,,Électronique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oui,,Oui,Démarrage mains libres,Accès mains libres,Automatique | 3 zones,Oui,Oui,À distance,,,Supervision TFT LCD,Oui,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Confort | Sport | Eco | Smart,Conducteur et passager,,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,3,Commandes au volant,USB | Apple Carplay | AUX | Android Auto | Bluetooth | Commande vocale | iPod | Chargeur de téléphone sans fil,Tactile | 7 pouces,Cuir,Cuir,Électriques | 6 directions | Chauffants | Ventilés | Réglage lombaire,Cuir,Teintées | Parebrise athermique | Lunette et vitres arrières sur-teintées,Cuir | Chauffant | Multi-fonctions | Avec palettes,Radar de recul | Caméra de recul,LED,Oui,Feux de jour | Avant | Arrières,En aluminium | 19,Full LED,,SUV,1680 mm,1890 mm,4770 mm,7,5,Métallisée,547 L,9.5 s,6.1 L/100 km,6.7 L/100 km,8 L/100 km,203 KM/H,Automatique,440 nm 1750 tr/min,2199 CM³,Diesel,4,8,200 CH,12 CV,Intégrale,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP | TCS,BAS,Oui,,5 ans,279900 DT,Hyundai SANTA FE2.2 L CRDI HIGH GRADE,,,,,,,,,,,Oui,,,,,,,,Ouverture et fermeture motorisée | Cache Bagages,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Ouvrant | Panoramique,,,,,,,,,Oui,Oui,Chromées,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,Chromée,
Oui,,Oui,Démarrage mains libres,Accès mains libres,Automatique | Bizone,Oui,Oui,À distance,,,Oui,Adaptatif,Anti-éblouissement,Électriques | Rabattables | Dégivrants,,,,Avant/Arrière,En hauteur et en profondeur,,,Commandes au volant,USB | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,,Cuir,Conducteur à réglage électrique | 6 directions | Chauffants | Ventilés | Réglage lombaire,,,Multi-fonctions | Avec palettes,Radar de recul | Caméra de recul,Oui,,Avant | Arrières,En aluminium | 20,LED,,SUV,1750 mm,1975 mm,4980 mm,7,5,,509 L,10.5 s,6.3 L/100 km,7.5 L/100 km,9.6 L/100 km,190 KM/H,Automatique,441 nm 1750 tr/min,2199 CM³,Diesel,4,8,193 CH,12 CV,Intégrale,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,FCA,,BCA,5 ans,349950 DT,Hyundai Palisade Calligraphy2.2 L TCI 4x4 BVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,LFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Ouvrant | Panoramique,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,
Oui,,Oui,Démarrage mains libres,Accès mains libres,Automatique | Bizone,Oui,Oui,À distance,,,Oui,Adaptatif,Anti-éblouissement,Électriques | Rabattables | Dégivrants,,,,Avant/Arrière,En hauteur et en profondeur,,,Commandes au volant,USB | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,,Cuir,Conducteur à réglage électrique | 6 directions | Chauffants | Ventilés | Réglage lombaire,,,Multi-fonctions | Avec palettes,Radar de recul | Caméra de recul,Oui,,Avant | Arrières,En aluminium | 20,LED,,SUV,1750 mm,1975 mm,4980 mm,8,5,,509 L,8.2 s,7.3 L/100 km,9.9 L/100 km,14.2 L/100 km,210 KM/H,Automatique,335 nm 5000 tr/min,3470 CM³,Essence,6,8,277 CH,19 CV,Intégrale,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,FCA,,BCA,5 ans,349950 DT,Hyundai Palisade Calligraphy3.5 L GDI 4x4 BVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,LFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Ouvrant | Panoramique,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,
,,Oui,,,Manuelle,,Oui,À distance,,,Oui,Oui,,Électriques | Dégivrants,,,Oui,Avant,En hauteur et en profondeur,Avant,3,SWING | 4 haut-parleurs,2 USB-C | Bluetooth,,Cuir,Tissu,,,Athermiques,Multi-fonctions,,Oui,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour,14,LED,,Citadine,1482 mm,1780 mm,4108 mm,5,5,,380 L,15.5 s,4.3 L/100 km,5.1 L/100 km,6 L/100 km,178 KM/H,Manuelle,93 nm 3700 tr/min,999 CM³,Essence,3,5,80 CH,4 CV,Traction,Oui,Frontaux,Oui,ESP,,,,3 ans,66980 DT,Škoda fabia1.0 L MPI Essence,,,,,,,,,,,,Porte-lunettes,,,,,,,,,116 g/km,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Conducteur,,,,,,,,,,,,,,,,Tactile | 6.5 pouces,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avant,,,,,,,,,,,,,,,,,,Chromée,
,,Oui,Démarrage mains libres,Accès mains libres,Manuelle,,Oui,À distance,,,Oui,Oui,,Électriques | Dégivrants,,,Oui,Avant/Arrière,En hauteur et en profondeur,Avant,3,SWING | 4 haut-parleurs,2 USB-C | Bluetooth,,Cuir,Tissu,Réglage lombaire,,Athermiques,Cuir | Multi-fonctions,Radar de recul,Oui,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Arrières,En aluminium | 15,LED,Oui,Citadine,1482 mm,1780 mm,4108 mm,5,5,,380 L,15.5 s,4.3 L/100 km,5.1 L/100 km,6 L/100 km,178 KM/H,Manuelle,93 nm 3700 tr/min,999 CM³,Essence,3,5,80 CH,4 CV,Traction,Oui,Frontaux | Latéraux,Oui,ESP,,,,3 ans,71500 DT,Škoda fabia1.0 L MPI Selection,,,,,,,,,,,,Porte-lunettes,,,,,,,,,116 g/km,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Conducteur et passager,,,,,,,,,,,,,,,,Tactile | 6.5 pouces,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avant,,,,,,,,,,,,,,,,,,Chromée,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82500 DT,Škoda fabia1.0 L MPI Monte Carlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oui,1 prise 12 V,Oui,,,Automatique,,Oui,À distance,,,Oui,Oui,,Électriques | Rabattables,,Conducteur,,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,3,6 haut-parleurs | Commandes au volant,Apple Carplay | Android Auto | Bluetooth | 2 USB-C,Tactile | 10 pouces,Cuir,Tissu,,,Athermiques,Cuir | Multi-fonctions,Radar de recul | Caméra de recul,Oui,Pare-chocs | Rétroviseurs,Avant,En aluminium | 16,LED,Oui,SUV,1612 mm,1760 mm,4221 mm,5,5,,385 L,10.8 s,4.5 L/100 km,5.2 L/100 km,6.7 L/100 km,189 KM/H,Manuelle,178 nm 1750 tr/min,999 CM³,Essence,3,6,116 CH,6 CV,Traction,Oui,Frontaux,Oui,ESP,,Oui,,3 ans,76980 DT,Škoda Kushaq1.0 TSI Ambition,,,,,,,,,,,,Poches aumônières | Porte-lunettes,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Noir Brillant,,,,,,,,,,Baguettes dans les baies de porte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
Oui,1 prise 12 V,Oui,,,Automatique,,Oui,À distance,,,Oui,Oui,,Électriques | Rabattables,,Conducteur,,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,3,6 haut-parleurs | Commandes au volant,Apple Carplay | Android Auto | Bluetooth | 2 USB-C,Tactile | 10 pouces,Cuir,Tissu,,,Athermiques,Cuir | Multi-fonctions | Avec palettes,Radar de recul | Caméra de recul,Oui,Pare-chocs | Rétroviseurs,Avant,En aluminium | 16,LED,Oui,SUV,1612 mm,1760 mm,4221 mm,5,5,,385 L,10.8 s,4.5 L/100 km,5.2 L/100 km,6.7 L/100 km,189 KM/H,Automatique,178 nm 1750 tr/min,999 CM³,Essence,3,6,116 CH,7 CV,Traction,Oui,Frontaux,Oui,ESP,,Oui,,3 ans,82980 DT,Škoda Kushaq1.0 TSI Ambition BVA,,,,,,,,,,,,Poches aumônières | Porte-lunettes,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Noir Brillant,,,,,,,,,,Baguettes dans les baies de porte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
