,Marque,Modele,Annee,BoiteVitesse,Kilometrage,Energie,PuissanceFiscale,Prix
38,AUDI,A4,2017.0,Automatique,214000 km,Essence,8 cv,68 000 DT
39,SEAT,IBIZA,2018.0,Manuelle,50800 km,Diesel,4 cv,46 000 DT
40,FORD,RANGER,2020.0,Automatique,96000 km,Diesel,7 cv,130 000 DT
41,NISSAN,PATROL,2000.0,Manuelle,400000 km,Diesel,11 cv,55 000 DT
42,RENAULT,MEGANE,2007.0,Manuelle,297000 km,Diesel,5 cv,18 000 DT
43,AUDI,A5,2020.0,Automatique,90000 km,Essence,8 cv,130 000 DT
44,FIAT,PALIO,2016.0,Manuelle,195000 km,Essence,5 cv,17 000 DT
45,SEAT,LEON,2023.0,Automatique,49000 km,Essence,8 cv,94 000 DT
46,PEUGEOT,308,2012.0,Manuelle,250000 km,Essence,6 cv,29 000 DT
47,AUDI,A4,2017.0,Automatique,194000 km,Essence,8 cv,78 000 DT
48,HYUNDAI,H1 VAN,2023.0,Automatique,180000 km,Essence,7 cv,88 000 DT
49,FIAT,PALIO,2002.0,Manuelle,360000 km,Essence,4 cv,11 200 DT
50,TOYOTA,HILUX,2019.0,Automatique,92000 km,Diesel,8 cv,183 000 DT
51,TOYOTA,AGYA,2022.0,Automatique,30000 km,Essence,5 cv,43 000 DT
52,CITROEN,C3,2004.0,Manuelle,217000 km,Essence,4 cv,17 600 DT
53,PEUGEOT,301,2014.0,Manuelle,205000 km,Essence,5 cv,20 500 DT
54,PEUGEOT,208,2019.0,Manuelle,127000 km,Essence,5 cv,30 000 DT
55,CITROEN,C-ELYSEE,2014.0,Manuelle,160000 km,Essence,5 cv,21 000 DT
56,RENAULT,CLIO,1993.0,Manuelle,230000 km,Essence,5 cv,10 000 DT
57,RENAULT,CLIO,2001.0,Manuelle,337000 km,Essence,6 cv,13 800 DT
58,FORD,FOCUS,2016.0,Manuelle,86000 km,Essence,6 cv,44 000 DT
59,MERCEDES,CLASSE A,2014.0,Automatique,160000 km,Diesel,6 cv,54 000 DT
60,VOLKSWAGEN,POLO 8,2018.0,Manuelle,106000 km,Diesel,4 cv,47 000 DT
61,CITROEN,C-ELYSEE,2019.0,Manuelle,175000 km,Diesel,5 cv,25 000 DT
62,BMW,SERIE 5,2019.0,Automatique,74000 km,Essence,10 cv,159 000 DT
63,CITROEN,C4,2012.0,Manuelle,243000 km,Diesel,6 cv,37 000 DT
64,PEUGEOT,3008 GT-LINE,2019.0,Automatique,140000 km,Essence,9 cv,79 500 DT
65,CITROEN,C3,2011.0,Manuelle,111149 km,Diesel,4 cv,38 000 DT
66,TOYOTA,COROLLA,2016.0,Manuelle,140000 km,Essence,7 cv,48 000 DT
67,GREAT-WALL,M4,2017.0,Manuelle,120000 km,Essence,6 cv,35 500 DT
68,FIAT,PUNTO,2002.0,Manuelle,315000 km,Essence,4 cv,15 000 DT
69,LAND ROVER,DISCOVERY SPORT,2016.0,Automatique,205000 km,Diesel,20 cv,70 100 DT
70,SSANGYONG,KORANDO,2011.0,Manuelle,322000 km,Diesel,10 cv,34 000 DT
71,TOYOTA,HILUX,2019.0,Manuelle,95000 km,Diesel,8 cv,181 000 DT
72,CHEVROLET,AVEO,2007.0,Manuelle,2000 km,Essence,5 cv,21 000 DT
73,VOLKSWAGEN,GOLF 7,2014.0,Manuelle,180000 km,Essence,5 cv,41 500 DT
74,VOLKSWAGEN,JETTA,2008.0,Automatique,194000 km,Essence,8 cv,31 000 DT
75,RENAULT,CLIO 4,2013.0,Manuelle,5 km,Essence,5 cv,36 700 DT
76,RENAULT,CLIO,2011.0,Manuelle,23500 km,Essence,4 cv,14 500 DT
77,KIA,RIO,2013.0,Automatique,125000 km,Essence,6 cv,33 900 DT
78,RENAULT,SYMBOL,2009.0,Manuelle,308000 km,Essence,5 cv,20 000 DT
79,FIAT,PUNTO,2013.0,Manuelle,110000 km,Essence,4 cv,20 800 DT
80,RENAULT,MEGANE,2019.0,Manuelle,36000 km,Essence,7 cv,72 000 DT
81,SUZUKI,CELERIO,2017.0,Manuelle,138000 km,Essence,4 cv,27 000 DT
82,SSANGYONG,TIVOLI,2020.0,Manuelle,60000 km,Essence,7 cv,58 500 DT
83,SEAT,IBIZA,2021.0,Manuelle,80000 km,Essence,4 cv,45 000 DT
84,CITROEN,AX,1997.0,Manuelle,200000 km,Diesel,4 cv,9 000 DT
85,VOLKSWAGEN,TIGUAN,2018.0,Automatique,40000 km,Essence,8 cv,120 000 DT
86,PEUGEOT,3008,2021.0,Automatique,57500 km,Essence,7 cv,99 000 DT
87,PEUGEOT,206,2001.0,Manuelle,280000 km,Essence,5 cv,15 000 DT
88,CITROEN,C-ELYSEE,2014.0,Automatique,197000 km,Essence,5 cv,27 000 DT
90,AUDI,A6,2015.0,Automatique,97000 km,Essence,10 cv,110 000 DT
91,LAND ROVER,DISCOVERY SPORT,2015.0,Automatique,125000 km,Diesel,9 cv,119 000 DT
92,KIA,PICANTO,2021.0,Manuelle,38200 km,Essence,4 cv,42 000 DT
93,JEEP,RENEGADE,2020.0,Automatique,89000 km,Essence,8 cv,78 000 DT
94,FIAT,500,2017.0,Automatique,67000 km,Essence,4 cv,44 000 DT
95,OPEL,ASTRA,2009.0,Manuelle,160000 km,Essence,5 cv,25 000 DT
96,NISSAN,QASHQAI,2016.0,Manuelle,112000 km,Diesel,7 cv,71 000 DT
97,VOLKSWAGEN,POLO SEDAN,2018.0,Manuelle,110000 km,Essence,5 cv,39 000 DT
98,RENAULT,KANGOO,2005.0,Manuelle,392 km,Diesel,6 cv,17 600 DT
99,HAVAL,H6,2020.0,Automatique,38000 km,Essence,9 cv,92 000 DT
100,TOYOTA,C-HR,2018.0,Automatique,120000 km,Essence,6 cv,75 000 DT
101,FIAT,500,2011.0,Manuelle,178000 km,Essence,4 cv,27 000 DT
102,BMW,SERIE 5,2018.0,Automatique,105000 km,Essence,10 cv,147 000 DT
103,CHERY,ARRIZO 5,2020.0,Automatique,141000 km,Essence,7 cv,39 500 DT
104,PEUGEOT,207,2011.0,Manuelle,205000 km,Essence,6 cv,24 500 DT
105,CITROEN,C3,123000.0,Manuelle,2018 km,Essence,5 cv,37 900 DT
106,LAND ROVER,DISCOVERY SPORT,2017.0,Automatique,187000 km,Diesel,10 cv,125 000 DT
107,CITROEN,C1,2018.0,Manuelle,60000 km,Essence,10 cv,31 500 DT
108,ISUZU,D-MAX 4P,2015.0,Manuelle,140000 km,Diesel,8 cv,133 000 DT
110,BMW,SERIE 4 GRAN COUPE,2020.0,Automatique,142000 km,Essence,7 cv,125 000 DT
111,SUZUKI,CELERIO,2021.0,Manuelle,13370 km,Essence,4 cv,34 000 DT
112,BMW,X3,2020.0,Automatique,54000 km,Diesel,8 cv,250 000 DT
113,MERCEDES,CLASSE E,2018.0,Automatique,107000 km,Essence,9 cv,143 000 DT
114,MERCEDES,CLASSE E,2019.0,Automatique,100000 km,Essence,9 cv,147 000 DT
115,JEEP,RENEGADE,2021.0,Manuelle,71000 km,Essence,6 cv,85 000 DT
116,BMW,SERIE 3,2017.0,Automatique,116000 km,Essence,7 cv,87 000 DT
117,MERCEDES,CLASSE C,2015.0,Automatique,200000 km,Essence,8 cv,109 000 DT
118,MERCEDES,CLASSE GLK,2011.0,Manuelle,230000 km,Diesel,8 cv,47 000 DT
119,MERCEDES,CLASSE B,2010.0,Automatique,155000 km,Essence,6 cv,39 900 DT
120,SEAT,IBIZA,2018.0,Manuelle,140000 km,Essence,4 cv,39 000 DT
121,PEUGEOT,LANDTREK,2022.0,Manuelle,24900 km,Diesel,6 cv,90 000 DT
122,RENAULT,MEGANE,2012.0,Manuelle,230000 km,Diesel,5 cv,33 000 DT
123,PEUGEOT,508,2012.0,Manuelle,140000 km,Essence,9 cv,33 000 DT
124,SEAT,IBIZA,2013.0,Manuelle,170000 km,Diesel,5 cv,28 000 DT
125,CITROEN,SAXO,2000.0,Manuelle,231000 km,Essence,4 cv,13 000 DT
126,TOYOTA,PRIUS,2005.0,Automatique,110000 km,Hybride,5 cv,34 900 DT
127,FIAT,500,2019.0,Automatique,79000 km,Essence,4 cv,44 000 DT
128,FIAT,FIORINO,2020.0,Manuelle,190000 km,Essence,5 cv,30 000 DT
129,MAZDA,2,2016.0,Manuelle,136900 km,Essence,6 cv,33 500 DT
130,PEUGEOT,508,2012.0,Manuelle,176000 km,Essence,7 cv,32 500 DT
131,NISSAN,PATROL,2000.0,Manuelle,155000 km,Diesel,11 cv,45 000 DT
132,PEUGEOT,208,2019.0,Manuelle,109000 km,Essence,4 cv,31 500 DT
133,BMW,SERIE 3,2015.0,Automatique,108000 km,Essence,7 cv,79 000 DT
134,PEUGEOT,208,2013.0,Manuelle,95000 km,Essence,5 cv,25 000 DT
135,CITROEN,SAXO,2000.0,Manuelle,340000 km,Essence,4 cv,10 700 DT
136,HYUNDAI,I20,2014.0,Manuelle,86000 km,Essence,4 cv,33 000 DT
137,FORD,KA,2015.0,Manuelle,62500 km,Essence,4 cv,29 500 DT
138,BMW,SERIE 3,2014.0,Automatique,177000 km,Essence,10 cv,82 000 DT
139,TOYOTA,AGYA,2021.0,Manuelle,65000 km,Essence,4 cv,35 000 DT
140,AUDI,A6,2017.0,Automatique,139000 km,Essence,9 cv,99 000 DT
141,RENAULT,SYMBOL,2013.0,Manuelle,196000 km,Essence,5 cv,30 000 DT
142,FORD,FUSION,2016.0,Manuelle,85000 km,Essence,9 cv,63 000 DT
143,VOLKSWAGEN,GOLF 8,2021.0,Automatique,72000 km,Essence,8 cv,110 000 DT
144,PEUGEOT,208,2020.0,Manuelle,59000 km,Essence,4 cv,32 500 DT
145,RENAULT,CLIO 3,2011.0,Manuelle,260000 km,Essence,6 cv,28 000 DT
146,FIAT,500,2013.0,Manuelle,193500 km,Essence,4 cv,29 500 DT
147,GREAT-WALL,WINGLE,2019.0,Manuelle,100000 km,Essence,6 cv,42 000 DT
148,PEUGEOT,306,2001.0,Manuelle,450000 km,Diesel,7 cv,8 200 DT
149,NISSAN,MICRA,2017.0,Manuelle,46000 km,Essence,5 cv,34 500 DT
150,KIA,SPORTAGE,2019.0,Manuelle,130000 km,Diesel,6 cv,95 000 DT
151,CHEVROLET,CRUZE,2018.0,Manuelle,95000 km,Diesel,7 cv,43 000 DT
152,PEUGEOT,3008,2017.0,Automatique,130000 km,Diesel,6 cv,88 000 DT
153,VOLKSWAGEN,EOS,2010.0,Automatique,135000 km,Essence,12 cv,42 000 DT
154,MAHINDRA,KUV 100,2019.0,Manuelle,21500 km,Essence,5 cv,29 500 DT
155,HYUNDAI,I10,2016.0,Manuelle,126200 km,Essence,5 cv,29 500 DT
156,PEUGEOT,208,2018.0,Manuelle,96000 km,Essence,5 cv,30 200 DT
157,VOLKSWAGEN,POLO 7,2011.0,Manuelle,215000 km,Essence,4 cv,21 000 DT
158,MAHINDRA,KUV 100,2023.0,Manuelle,10000 km,Essence,5 cv,38 000 DT
159,CHERY,TIGGO 2,2020.0,Manuelle,66500 km,Essence,6 cv,45 500 DT
160,RENAULT,CLIO 4,2021.0,Manuelle,16000 km,Essence,5 cv,47 000 DT
161,RENAULT,SCENIC,2001.0,Manuelle,200000 km,Diesel,7 cv,18 000 DT
162,PEUGEOT,206,2013.0,Manuelle,135000 km,Essence,5 cv,25 000 DT
163,BMW,X1,2017.0,Automatique,97000 km,Essence,7 cv,84 000 DT
164,VOLKSWAGEN,GOLF 7,2012.0,Manuelle,229000 km,Diesel,5 cv,41 000 DT
165,PEUGEOT,PARTNER,2014.0,Manuelle,200000 km,Diesel,7 cv,25 500 DT
166,PEUGEOT,404,2000.0,Manuelle,167000 km,Diesel,8 cv,7 000 DT
167,PEUGEOT,206,2009.0,Manuelle,260000 km,Essence,6 cv,17 000 DT
168,CITROEN,NEMO,2017.0,Manuelle,272000 km,Diesel,5 cv,22 900 DT
169,FORD,FIESTA,2007.0,Manuelle,273000 km,Essence,5 cv,19 500 DT
170,DACIA,SANDERO STEPWAY,2021.0,Manuelle,12900 km,Essence,5 cv,57 500 DT
171,DS,5,2017.0,Automatique,64999 km,Essence,9 cv,58 000 DT
172,MAHINDRA,KUV 100,2018.0,Manuelle,70000 km,Essence,5 cv,29 500 DT
173,VOLKSWAGEN,POLO,2019.0,Manuelle,103000 km,Essence,5 cv,43 000 DT
174,TOYOTA,YARIS,2020.0,Manuelle,132000 km,Essence,4 cv,38 500 DT
175,HYUNDAI,I10,2021.0,Manuelle,63000 km,Essence,5 cv,43 000 DT
176,VOLKSWAGEN,POLO 6,2007.0,Manuelle,188000 km,Essence,4 cv,21 000 DT
177,CHERY,QQ,2012.0,Manuelle,55000 km,Essence,4 cv,24 500 DT
178,FIAT,FIORINO,2016.0,Manuelle,310000 km,Diesel,5 cv,23 000 DT
179,NISSAN,NAVARA,2012.0,Manuelle,148000 km,Diesel,10 cv,59 000 DT
180,FIAT,DOBLO,2015.0,Manuelle,287000 km,Diesel,5 cv,26 000 DT
181,ISUZU,D-MAX 2P,2014.0,Manuelle,210000 km,Diesel,8 cv,55 000 DT
182,RENAULT,MEGANE,2010.0,Manuelle,186000 km,Essence,7 cv,25 900 DT
183,SEAT,LEON,2015.0,Manuelle,153000 km,Essence,6 cv,44 000 DT
184,HYUNDAI,I10,2017.0,Automatique,136000 km,Essence,5 cv,35 000 DT
185,BMW,SERIE 2 GRAN COUPE,2015.0,Automatique,142000 km,Essence,7 cv,78 000 DT
186,VOLKSWAGEN,PASSAT,2016.0,Manuelle,180000 km,Essence,7 cv,57 000 DT
187,RENAULT,CLIO,2007.0,Manuelle,162000 km,Essence,5 cv,18 000 DT
188,HYUNDAI,I20,2022.0,Manuelle,3000 km,Essence,5 cv,62 000 DT
190,PEUGEOT,307,2005.0,Manuelle,300000 km,Essence,8 cv,17 000 DT
191,CITROEN,C3,2017.0,Manuelle,100000 km,Essence,4 cv,38 000 DT
192,HYUNDAI,I10,2021.0,Manuelle,90000 km,Essence,5 cv,39 000 DT
193,KIA,RIO,2017.0,Manuelle,128000 km,Essence,5 cv,41 500 DT
194,FIAT,DUCATO,2021.0,Manuelle,57000 km,Essence,7 cv,60 000 DT
195,CITROEN,C3,2019.0,Manuelle,128000 km,Essence,4 cv,38 500 DT
196,MERCEDES,CLASSE C,2018.0,Automatique,130000 km,Essence,8 cv,110 000 DT
197,MERCEDES,CLASSE A,2019.0,Automatique,90000 km,Essence,9 cv,138 000 DT
198,MERCEDES,CLASSE C,2019.0,Automatique,120000 km,Essence,8 cv,118 000 DT
199,FIAT,TIPO,2021.0,Manuelle,76000 km,Essence,6 cv,47 500 DT
200,FORD,KA,2001.0,Manuelle,250000 km,Essence,5 cv,11 000 DT
201,FIAT,GRANDE PUNTO,2012.0,Manuelle,214000 km,Essence,4 cv,21 000 DT
202,MERCEDES,190,1991.0,Manuelle,25000 km,Diesel,8 cv,16 500 DT
203,KIA,SPORTAGE,2021.0,Automatique,52000 km,Hybride,7 cv,105 000 DT
204,SEAT,LEON,2017.0,Manuelle,210000 km,Essence,6 cv,42 000 DT
205,PEUGEOT,308,2011.0,Manuelle,187000 km,Essence,6 cv,27 000 DT
206,CITROEN,JUMPER,2007.0,Manuelle,250000 km,Diesel,7 cv,21 000 DT
207,VOLVO,XC90,2009.0,Automatique,287000 km,Diesel,12 cv,43 000 DT
208,FIAT,PUNTO,2004.0,Manuelle,200000 km,Essence,4 cv,14 500 DT
209,PEUGEOT,208,2014.0,Manuelle,280000 km,Essence,5 cv,25 700 DT
210,CITROEN,BERLINGO B9,2015.0,Manuelle,47000 km,Diesel,5 cv,38 500 DT
211,PEUGEOT,205,1998.0,Manuelle,463224 km,Essence,4 cv,7 900 DT
212,KIA,PICANTO,2021.0,Manuelle,45000 km,Essence,4 cv,40 500 DT
213,SEAT,LEON,2016.0,Manuelle,50000 km,Essence,5 cv,40 000 DT
214,VOLKSWAGEN,,2009.0,Automatique,196500 km,Essence,7 cv,29 800 DT
215,BMW,SERIE 5,2018.0,Automatique,100000 km,Essence,10 cv,150 000 DT
216,CHEVROLET,AVEO,2024.0,Manuelle,500000 km,Essence,5 cv,19 700 DT
217,SEAT,IBIZA,19000.0,Manuelle,2015 km,Essence,5 cv,36 000 DT
218,RENAULT,,2020.0,Manuelle,100000 km,Essence,5 cv,37 500 DT
219,KIA,RIO,2016.0,Manuelle,130000 km,Essence,5 cv,36 500 DT
220,HYUNDAI,I10,2015.0,Manuelle,130000 km,Essence,5 cv,33 000 DT
221,ISUZU,NKR,2009.0,Manuelle,320000 km,Diesel,17 cv,25 000 DT
222,VOLKSWAGEN,CADDY,2011.0,Manuelle,380000 km,Diesel,8 cv,21 500 DT
223,VOLKSWAGEN,,2010.0,Manuelle,250000 km,Essence,4 cv,11 000 DT
224,CITROEN,BERLINGO B9,2019.0,Manuelle,119000 km,Diesel,5 cv,41 000 DT
227,PEUGEOT,508,2014.0,Automatique,160000 km,Essence,7 cv,40 000 DT
228,FIAT,500,2019.0,Automatique,65000 km,Essence,4 cv,11 000 DT
229,FORD,FIESTA,2010.0,Manuelle,172000 km,Essence,5 cv,25 000 DT
230,CHERY,ARRIZO 3,2016.0,Manuelle,122000 km,Essence,6 cv,28 000 DT
231,RENAULT,CLIO 4,2021.0,Manuelle,16000 km,Essence,5 cv,47 000 DT
232,CITROEN,SAXO,2001.0,Manuelle,175000 km,Essence,4 cv,12 000 DT
233,MAZDA,CX-9,2010.0,Automatique,166500 km,Essence,20 cv,39 000 DT
234,TOYOTA,HILUX,2014.0,Manuelle,41000 km,Diesel,8 cv,145 000 DT
235,VOLKSWAGEN,POLO 6,2007.0,Manuelle,163000 km,Diesel,7 cv,21 500 DT
236,MERCEDES,CLASSE E,2011.0,Automatique,190000 km,Diesel,10 cv,52 000 DT
238,VOLKSWAGEN,POLO 5,2005.0,Manuelle,245000 km,Essence,4 cv,17 000 DT
239,PEUGEOT,207,2012.0,Manuelle,164000 km,Essence,5 cv,24 000 DT
241,VOLKSWAGEN,GOLF 6,2010.0,Manuelle,223000 km,Diesel,5 cv,43 000 DT
242,RENAULT,KANGOO,2004.0,Manuelle,250000 km,Essence,5 cv,21 500 DT
243,KIA,PICANTO,2019.0,Manuelle,93000 km,Essence,4 cv,35 000 DT
244,RENAULT,MEGANE,2005.0,Manuelle,189000 km,Essence,6 cv,18 000 DT
245,TOYOTA,YARIS,2020.0,Manuelle,55000 km,Diesel,4 cv,39 000 DT
246,AUDI,A3,2010.0,Manuelle,285000 km,Diesel,5 cv,37 500 DT
247,SSANGYONG,TIVOLI,2020.0,Manuelle,43500 km,Essence,6 cv,68 000 DT
250,MAZDA,2,2016.0,Automatique,85000 km,Essence,6 cv,41 000 DT
251,VOLKSWAGEN,PASSAT,2006.0,Manuelle,240000 km,Diesel,7 cv,27 000 DT
252,HONDA,ACCORD,2020.0,Automatique,87000 km,Essence,6 cv,44 000 DT
253,FORD,FIESTA,2019.0,Manuelle,77000 km,Essence,4 cv,37 000 DT
254,FIAT,FIORINO,2021.0,Manuelle,190000 km,Diesel,5 cv,32 000 DT
255,RENAULT,CLIO 4,2013.0,Manuelle,123000 km,Essence,5 cv,35 500 DT
256,PEUGEOT,508,2011.0,Manuelle,240000 km,Essence,9 cv,30 000 DT
257,CITROEN,C-ELYSEE,2015.0,Manuelle,168000 km,Essence,5 cv,19 500 DT
258,PEUGEOT,307,2009.0,Manuelle,28000 km,Essence,7 cv,25 002 DT
259,HYUNDAI,I10,2021.0,Manuelle,52000 km,Essence,5 cv,41 000 DT
260,KIA,RIO,2016.0,Manuelle,177000 km,Essence,6 cv,35 000 DT
263,SEAT,LEON,2022.0,Manuelle,22000 km,Essence,6 cv,89 000 DT
264,FIAT,GRANDE PUNTO,2010.0,Manuelle,300000 km,Essence,5 cv,18 500 DT
265,FORD,ECOSPORT,2019.0,Automatique,43000 km,Essence,7 cv,70 000 DT
266,MERCEDES,CLASSE C,2019.0,Automatique,152000 km,Diesel,8 cv,137 000 DT
267,MITSUBISHI,ATTRAGE,2017.0,Manuelle,135000 km,Essence,4 cv,21 800 DT
268,VOLKSWAGEN,CADDY,2010.0,Manuelle,260000 km,Diesel,8 cv,17 000 DT
269,CITROEN,C4,2013.0,Manuelle,185000 km,Essence,5 cv,38 000 DT
270,FORD,RANGER,2007.0,Manuelle,600000 km,Diesel,10 cv,23 000 DT
271,FIAT,DOBLO,2012.0,Manuelle,250000 km,Diesel,5 cv,17 000 DT
272,KIA,RIO,2012.0,Manuelle,210000 km,Essence,5 cv,31 000 DT
273,RENAULT,MASTER,2004.0,Manuelle,200000 km,Diesel,11 cv,14 000 DT
274,RENAULT,CLIO,2002.0,Manuelle,254999 km,Essence,5 cv,17 800 DT
276,RENAULT,CLIO,2004.0,Manuelle,192000 km,Essence,5 cv,21 000 DT
277,SEAT,IBIZA,2018.0,Manuelle,140000 km,Essence,4 cv,42 600 DT
278,AUDI,A4,2013.0,Automatique,148000 km,Essence,7 cv,48 000 DT
279,KIA,RIO,2014.0,Manuelle,186000 km,Essence,5 cv,32 800 DT
280,RENAULT,MEGANE,2009.0,Manuelle,65000 km,Diesel,6 cv,25 500 DT
281,PEUGEOT,208,2022.0,Manuelle,17000 km,Essence,4 cv,44 000 DT
282,VOLKSWAGEN,PASSAT,2003.0,Manuelle,250000 km,Essence,7 cv,28 300 DT
283,MERCEDES,CLASSE C,2010.0,Manuelle,235000 km,Essence,9 cv,56 000 DT
284,CHERY,TIGGO 3,2023.0,Automatique,4850 km,Essence,6 cv,18 000 DT
285,HYUNDAI,I20,2019.0,Manuelle,102000 km,Essence,5 cv,40 500 DT
286,OPEL,CORSA,1999.0,Manuelle,285000 km,Essence,4 cv,6 500 DT
287,VOLKSWAGEN,POLO 8,2019.0,Manuelle,130000 km,Essence,4 cv,40 000 DT
288,PEUGEOT,508,2011.0,Manuelle,240000 km,Essence,9 cv,30 000 DT
289,DACIA,DOKKER,2017.0,Manuelle,150000 km,Diesel,6 cv,26 500 DT
290,OPEL,INSIGNIA,2013.0,Manuelle,260000 km,Essence,11 cv,25 900 DT
291,MERCEDES,CLASSE A,55000.0,Manuelle,187000 km,Diesel,6 cv,55 000 DT
292,RENAULT,CLIO,2016.0,Manuelle,125000 km,Essence,5 cv,42 000 DT
293,PEUGEOT,BIPPER,2016.0,Manuelle,158000 km,Diesel,5 cv,28 000 DT
294,VOLKSWAGEN,GOLF 7,2017.0,Manuelle,139000 km,Essence,5 cv,59 000 DT
295,OPEL,ASTRA,2009.0,Manuelle,220000 km,Essence,5 cv,25 000 DT
296,PEUGEOT,208,2023.0,Manuelle,78000 km,Diesel,5 cv,39 500 DT
297,NISSAN,MICRA,2014.0,Manuelle,171000 km,Essence,5 cv,20 000 DT
298,CHERY,E3,2017.0,Manuelle,107809 km,Diesel,6 cv,28 700 DT
299,VOLKSWAGEN,BORA,2006.0,Manuelle,422000 km,Diesel,7 cv,16 800 DT
300,SEAT,LEON,2014.0,Manuelle,170000 km,Essence,6 cv,45 000 DT
301,PEUGEOT,207,2012.0,Manuelle,284000 km,Essence,5 cv,26 000 DT
302,CITROEN,C4,2012.0,Manuelle,250000 km,Essence,6 cv,32 000 DT
303,CITROEN,C3,2019.0,Manuelle,79400 km,Essence,4 cv,38 900 DT
304,FIAT,PUNTO,2009.0,Manuelle,242253 km,Essence,4 cv,18 000 DT
305,VOLKSWAGEN,AMAROK,2014.0,Manuelle,143000 km,Diesel,8 cv,115 000 DT
306,VOLKSWAGEN,JETTA,2013.0,Manuelle,190000 km,Essence,6 cv,45 000 DT
307,PEUGEOT,106,1995.0,Manuelle,245000 km,Essence,4 cv,9 000 DT
308,HYUNDAI,I10,2018.0,Manuelle,215000 km,Essence,5 cv,42 000 DT
309,VOLKSWAGEN,POLO 7,2011.0,Manuelle,149000 km,Essence,5 cv,29 500 DT
310,CITROEN,C3,2019.0,Manuelle,2019 km,Essence,4 cv,38 900 DT
311,FORD,MONDEO,2011.0,Manuelle,240000 km,Essence,7 cv,27 500 DT
312,CITROEN,AX,1994.0,Manuelle,120000 km,Diesel,4 cv,8 000 DT
313,SKODA,OCTAVIA,2017.0,Automatique,140000 km,Essence,8 cv,44 000 DT
314,CHERY,QQ,2017.0,Manuelle,55580 km,Essence,4 cv,22 998 DT
