Disponibilité,Carrosserie,Garantie,Nombre de places,Nombre de portes,Nombre de cylindres,Energie,Puissance fiscale,Puissance (ch.din),Couple,Cylindrée,Boîte,Nombre de rapports,Transmission,Longueur,Largeur,Hauteur,Volume du coffre,0-100 Km/h,Vitesse maxi,Consommation urbaine,Consommation extra-urbaine,Consommation mixte,ABS,Airbags,Anti-démarrage électronique,Contrôle de pression des pneus,Fixations ISOFIX,Anti-patinage,Aide au stationnement,Assistance au freinage,Alerte de franchissement de ligne,Direction assistée,Régulateur de vitesse,Limiteur de vitesse,Antibrouillards,Eléments extérieurs couleur carrosserie,Feux à LED,Jantes,Lave Phares,Phares,Autoradio,Connectivité,Ecran central,Accoudoirs,Appuis têtes arrières,Finition intérieure,Pommeau de levier de vitesse,Sellerie,Sièges,Sièges réglables en hauteur,Tapis de sol,Vitres,Volant,Volant réglable,Bouton Start & Stop,Climatisation,Fermeture centralisée,Ordinateur de bord,Système Start & Stop,Rétroviseurs extérieurs,Rétroviseur intérieur,Vitres électriques,prix,description,Peinture,Aide au maintien dans la voie,Boîte à gants réfrigérée,Rideau de benne,Stores pare-soleil,Kit rangement,Freinage,Voiture populaire,Coffre à bagages,Préparation pour téléphone,Kit sécurité,Stabilisateur de vent latéral,DSC,Poignées de portes,Spoiler arrière,Affichage tête haute,Train roulant,Charge utile,Arceau de benne,Version pays chauds,Détecteur de fatigue,Fermeture assistée des portes,Nombre de moteurs électriques,Autonomie électrique WLTP,Contrôle de stabilité anti-retournement,Allumage automatique des feux,Contrôle adaptatif de la charge,Volume utile,Aide au démarrage en côte,Calandre,Pack nuit,Toit,Puissance avec overboost (ch.din),Assistant de feux de route,Conduite autonome,Surface de chargement,Pédaliers,Volume du coffre maximal,Éclairage d'accompagnement,Boulons de roues protégés,Baguettes extérieures d'encadrement des vitres,Boule d'attelage,Kit fumeurs,4 roues directrices,Surveillance d’angle mort,Modes de conduite,Différentiel autobloquant,Clé intelligente,Cloison entre cabine et compartiment arrière,Temps de recharge normale,Instrumentation digitale,Suspension,Batterie,Terrain Response,Alerte de circulation transversale,Ciel de pavillon,Pneumatiques runflat,Kit éclairage,Marchepieds latéraux,Reconnaissance des panneaux,Frein de stationnement,Détection des piétons,Tableau de bord,Barre stabilisatrice,Puissance électrique,Caméra d'angle mort,Emissions de CO2,Seuils de portes,Couple électrique,Dynamic Response,Lumières d'ambiance,Alimentation électrique,Système de descente en côte,Carte mains libres,Navigation,Temps de recharge rapide,Pack aérodynamique M,Alarme antivol,Détecteur de pluie,Contrôle du roulis de la remorque,Barres de toit,Consommation électrique WLTP,Volume du coffre avant,Kit carrosserie,Sorties d’échappement
Disponible,Berline,5 ans (2+3),5,5,4,Essence,10CV,184CH,300nm1350tr/min,1998CM³,Automatique,8,Propulsion,4783mm,1852mm,1442mm,470L,7.9s,235KM/H,8.2L/100 km,4.9L/100 km,6.6L/100 km,,Frontaux | Latéraux | Rideaux,,,,DTC | DSC,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,AFU | DBC,,,Avec fonction freinage,,,,Feux de jour | Avant | Arrières,En aluminium | 18'',,Full LED,Commandes au volant,USB | USB-C | Apple Carplay | AUX | Bluetooth,Tactile,Avant | Arrière,,Noir brillant,,Sensatec,Électriques | Fonction mémoire,Conducteur et passager,Velours,Parebrise athermique | Calorifuges,Cuir | Multi-fonctions | M,En hauteur et en profondeur,Démarrage mains libres,Automatique | 3 zones,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,276 800 DT TTC,BMW Série 4 Gran Coupé420i Business Line,,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,,,,Ouvrant | Panoramique,,,,,,,,,Alu satiné,,,,,Confort | Sport | Eco,EDLC,Accès mains libres,,,Live Cockpit Professional,,,,,Anthracite,,,,,,,,,,,,Aluminium,,,,,,,,,,,,,,,,,
Disponible,Coupé,5 ans (2+3),5,2,4,Essence,10CV,184CH,300nm1350tr/min,1998CM³,Automatique,8,Propulsion,4768mm,1852mm,1383mm,440L,7.5s,240KM/H,6.9L/100 km,4.9L/100 km,6.3L/100 km,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,,,Avec fonction freinage,,LED,,Feux de jour,En aluminium | 18'',,LED,BMW Professional CD | Commandes au volant,USB | Bluetooth,Tactile | 8.8'',Avant | Arrière,,Noir brillant,,Sensatec | Canberrabeige,,Conducteur et passager,Velours,Parebrise athermique,Cuir | Multi-fonctions | M | Sport,En hauteur et en profondeur,,Automatique,À distance,,,Électriques | Rabattables | Dégivrants,Anti-éblouissement,Avant,276 800 DT TTC,BMW Série 4 Coupé420i Business Line,,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,,Chromée,,Ouvrant | En verre,,,,,,,,,Aluminium,,,,,,,,,,Live Cockpit Professional,,,,,BMW Individual anthracite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,Coupé,5 ans (2+3),5,2,4,Essence,10CV,184CH,300nm1350tr/min,1998CM³,Automatique,8,Propulsion,4768mm,1852mm,1383mm,440L,7.5s,240KM/H,6.9L/100 km,4.9L/100 km,6.3L/100 km,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,,Sport variable,Avec fonction freinage,,LED,,Feux de jour,En aluminium | 19'',,LED,BMW Professional CD | Commandes au volant,USB | Bluetooth,Tactile | 8.8'',Avant | Arrière,,Noir brillant,,Cuir | Surpiqures  | Vernasca Cognac,Électriques | Réglage lombaire | Fonction mémoire | Sport M,Conducteur et passager,Velours,Parebrise athermique,Cuir | Multi-fonctions | M | Sport,En hauteur et en profondeur,,Automatique,À distance,,,Électriques | Rabattables | Dégivrants,Anti-éblouissement,Avant,331 900 DT TTC,BMW Série 4 Coupé420i Pack M Sport,,,,,,,Sport M,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,Sport M,,,,,,,,,,,,,Chromée,,Ouvrant | En verre,,,,,,,,,Aluminium,,,,,,,Accès mains libres,,,Live Cockpit Professional,,,,,BMW Individual anthracite,,,,,,,Sensatec,,,,,,,,,,,,,,,,,,,,,Pack Sport M,
Disponible,Berline,5 ans (2+3),5,4,4,Essence | Hybride léger,11CV,208CH,330nm1500tr/min,1999CM³,Automatique,8,Propulsion,5060mm,1900mm,1515mm,490L,7.5s,230KM/H,,,5.8L/100 km,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist,AFU,,,Avec fonction freinage,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 18'',,Adaptatifs | LED,Harman/Kardon | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 14.9 pouces,Avant | Arrière,3,Accentuation Dunkelsilber combinée à une laque à effet Dark Graphite mat,,Surpiqures  | Similicuir perforé,Réglage lombaire | Sport,Conducteur et passager,Velours,Lunette et vitres arrières sur-teintées | Calorifuges,Cuir | Sport | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Photosensibles | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,269 900 DT TTC,BMW Série 5520i Business Line,Métallisée,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,Chrome,,,,,Confort | Sport | Eco,,,,,12.3'' | Live Cockpit Professional,,,,,,,,,,Éléctrique,,,,,,,Aluminium,,,,1 prise 12 V,,,,,,,,,,,,,
Disponible,Berline,5 ans (2+3),5,4,4,Essence | Hybride léger,11CV,208CH,330nm1500tr/min,1999CM³,Automatique,8,Propulsion,5060mm,1900mm,1515mm,490L,7.5s,230KM/H,,,5.8L/100 km,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist,AFU,,,Adaptatif | Avec fonction freinage,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 18'',,Adaptatifs | LED,Harman/Kardon | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 14.9 pouces,Avant | Arrière,3,Accentuation Dunkelsilber combinée à une laque à effet Dark Graphite mat,,Surpiqures  | Similicuir perforé,Électriques | Réglage lombaire | Fonction mémoire | Sport,Conducteur et passager,Velours,Lunette et vitres arrières sur-teintées | Calorifuges,Cuir | Sport | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Photosensibles | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,293 900 DT TTC,BMW Série 5520i Lounge,Métallisée,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,Chrome,,,,,Confort | Sport | Eco,,Accès mains libres,,,12.3'' | Live Cockpit Professional,,,,,,,,,,Éléctrique,,,,,,,Aluminium,,,,1 prise 12 V,,,,,,,,,,,,,
Disponible,SUV,5 ans (2+3),5,5,3,Essence,9CV,156CH,240nm1500tr/min,1499CM³,Automatique,7,Traction,4500mm,1845mm,1642mm,540L,8.1s,221KM/H,7.1L/100 km,5.2L/100 km,5.9L/100 km,,Frontaux | Latéraux | Rideaux,,,,TCS,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,AFU,,,,,,,Avant | Arrières,En aluminium | 17'',,Adaptatifs | LED,Commandes au volant,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.7 pouces | Curved Display,Avant,,Quarzsilber mat grainé,,Tissu | Arktur anthrazit,,Conducteur et passager,Velours,Calorifuges,Cuir | Multi-fonctions,En hauteur et en profondeur,,Automatique,À distance,,,Électriques | Rabattables,Anti-éblouissement,Avant/Arrière,188 900 DT TTC,BMW X118i sDrive Lounge,,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accès mains libres,,,10.25'' | BMW Live Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alu satiné,,,,
Disponible,SUV,5 ans (2+3),5,5,4,Essence | Hybride rechargeable,11CV,292CH,300nm1350tr/min,1995CM³,Automatique,8,Intégrale,4708mm,1891mm,1676mm,550L,6.1s,210KM/H,,,2.2L/100 km,,Frontaux | Latéraux | Rideaux,,,,DTC,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,,,,LED,,Feux de jour | Avant | Arrières,En aluminium | 19'',,Full LED | Adaptatifs,Commandes au volant,USB | USB-C | Apple Carplay | Bluetooth,Tactile,Avant | Arrière,3,Noir brillant,,Sensatec perforé,Électriques | Fonction mémoire | Sport,Conducteur et passager,Velours,Calorifuges | Acoustiques,Cuir | Sport,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,355 000 DT TTC,BMW X3 Hybride30e xDrive Business Line,,,,,,,,,,,Triangle de présignalisation,,,,,,,,,,,,,50km,,,,,,,,Ouvrant | Panoramique | En verre,,,,,,,,,Noir Brillant | Shadow Line,,,,,,,,,3.75heures,Live Cockpit Professional,,,,,BMW Individual anthracite,,,,,,,,,109CH,,,,,,,,,,,,,,,,Noires,,,,
Disponible,SUV,5 ans (2+3),5,5,6,Essence | Hybride rechargeable,15CV,394CH,600nm1250tr/min,2998CM³,Automatique,8,Intégrale,4886mm,1938mm,1762mm,650L,5.6s,235KM/H,,,3.3L/100 km,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360 | Parkassist | Park distance control,AFU,,,,,LED,,,En aluminium | 20'',,Full LED | Adaptatifs | BMW Laserlight,Commandes au volant,USB | Apple Carplay | Bluetooth | Commande vocale | Commande gestuelle,Tactile,Avant | Arrière,,Laqué Piano Noir,Sport,Schwarz | Cuir étendu | Merino,Électriques | Fonction mémoire | Confort,Conducteur et passager,Velours,Teintées | Calorifuges | Acoustiques,Cuir | Multi-fonctions | M,En hauteur et en profondeur,Démarrage mains libres,Automatique | 4 zones,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles | Mémoire de position | Éclairage d'accueil à LED,Anti-éblouissement,Avant/Arrière,496 400 DT TTC,BMW X5 Hybride45e X-Drive Pack M,Métallisée,,,,,,Étriers rouges,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,,88km,,,,,,,,Ouvrant | Panoramique | En verre | Sky Lounge,,,,,,,,,Shadow Line,,,,,,,Accès mains libres | BMW Display Key,,,Live Cockpit Professional,Pneumatique,22.3kWh,,,BMW Individual anthracite,,,,,Éléctrique,,Cuir,,113CH,,,Aluminium,265nm,,,,,,,,,,,,BMW Individual Shadow Line,,,Pack Sport M,
Disponible,SUV,5 ans (2+3),5,5,6,Essence | Hybride rechargeable,21CV,489CH,700nm1250tr/min,2998CM³,Automatique,8,Intégrale,4886mm,1938mm,1762mm,650L,4.8s,250KM/H,,,1.2L/100 km,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360 | Parkassist,AFU | Système anti-collision avec détection des piétons,,,Avec fonction freinage,,LED,,,En aluminium | 20'',,Full LED | Adaptatifs | BMW Laserlight,Harman/Kardon | Commandes au volant,USB | Apple Carplay | Bluetooth | Commande vocale | Commande gestuelle,Tactile,Avant | Arrière,3,Laqué Piano Noir | Inserts décoratifs en bois précieux 'Fineline Stripe' brun à haute brillance,Sport,Schwarz | Cuir étendu | Merino,Électriques | Chauffants | Réglage lombaire | Fonction mémoire | Sport,Conducteur et passager,Velours,Teintées | Calorifuges | Acoustiques,Cuir | Multi-fonctions | M | Sport,En hauteur et en profondeur,Démarrage mains libres,Automatique | 4 zones,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles | Mémoire de position | Éclairage d'accueil à LED,Anti-éblouissement,Avant/Arrière,581 900 DT TTC,BMW X5 Hybride50e X-Drive Pack M,Métallisée,,,,,,Étriers rouges,,Ouverture et fermeture motorisée | Cache Bagages,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,Soft close,,110km,,,,,,BMW Iconic Glow,,Ouvrant | Panoramique | En verre | Sky Lounge,,,,,,,,,Shadow Line,,,,,,,Accès mains libres | BMW Display Key,,4.5heures,Live Cockpit Professional,Pneumatique | Adaptative,29.5kWh,,,BMW Individual anthracite,,,,,Éléctrique,,Cuir,,197CH,,,Aluminium,280nm,,,,,,,,,,,,BMW Individual Shadow Line,22.9kWh/100 km,,Pack Sport M,
Disponible,Berline,5 ans (2+3),5,5,,Electrique,22CV,340CH,430nm0tr/min,,Automatique,1,Propulsion,4783mm,1852mm,1448mm,470L,5.6s,190KM/H,,,,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,,,Avec fonction freinage,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 18'' | Bi-ton,,LED,Commandes au volant,USB-C | Apple Carplay | Bluetooth | Commande vocale,Tactile | 14.9 pouces,Avant | Arrière,,Noir brillant,,Sensatec perforé,Électriques | Fonction mémoire,Conducteur et passager,Velours,Calorifuges,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,Démarrage mains libres,Automatique | 3 zones,À distance,,,Électriques | Rabattables | Dégivrants,Anti-éblouissement,Avant,237 900 DT TTC,BMW i4eDrive40 Business Line,,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,1,573km,,,,,,,,Ouvrant | Panoramique,,,,,,,,,Alu satiné,,,,,,,Accès mains libres,,8.5heures,12.3'' | Live Cockpit Professional | BMW Live Plus,,81.1kWh,,,M anthracite,,,,,Éléctrique,,,,,,,,,,,1 prise 12 V,,,,30minutes,,,,,,16.1kWh/100 km,,,
Disponible,Berline,5 ans (2+3),5,5,,Electrique,22CV,340CH,430nm0tr/min,,Automatique,1,Propulsion,4783mm,1852mm,1448mm,470L,5.6s,190KM/H,,,,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,,Sport variable,Avec fonction freinage,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 19'' | Bi-ton,,BMW Laserlight,Harman/Kardon | Commandes au volant,USB-C | Apple Carplay | Bluetooth | Commande vocale,Tactile | 14.9 pouces,Avant | Arrière,,Inserts décoratifs M 'Carbon Fibre',,Schwarz | Surpiqûre contrastée Bleue | Vernasca,Électriques | Chauffants | Réglage lombaire | Fonction mémoire | Sport M,Conducteur et passager,Velours,Calorifuges,Cuir | Multi-fonctions | M | Sport,En hauteur et en profondeur,Démarrage mains libres,Automatique | 3 zones,À distance,,,Électriques | Rabattables | Dégivrants,Anti-éblouissement,Avant,276 900 DT TTC,BMW i4eDrive40 Pack M,,,,,,,Sport M,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,1,573km,,,,,,,,Ouvrant | En verre,,,,,,,,,Shadow Line,,,,,,,Accès mains libres,,8.5heures,12.3'' | Live Cockpit Professional | BMW Live Plus,Adaptative,81.1kWh,,,M anthracite,,,,,Éléctrique,,Sensatec,,,,,,,,,1 prise 12 V,,,,30minutes,,,,,,16.1kWh/100 km,,Pack Sport M,
Disponible,SUV,5 ans (2+3),5,5,,Electrique,8CV,313CH,494nm0tr/min,,Automatique,1,Intégrale,4500mm,1845mm,1642mm,490L,5.6s,180KM/H,,,,,Frontaux | Latéraux | Rideaux,,,,TCS,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,AFU,,,Adaptatif | Avec fonction freinage,,,,Feux de jour | Avant | Arrières,En aluminium | 18'' | Bi-ton,,Adaptatifs | LED,Commandes au volant,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.7 pouces | Curved Display,Avant,,Noir brillant | Quarzsilber mat grainé,,Alcantara/Sensatec,Conducteur à réglage électrique | Fonction mémoire | Sport,Conducteur et passager,,Calorifuges,Cuir | Multi-fonctions | M | Sport,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables,Anti-éblouissement,Avant/Arrière,224 900 DT TTC,BMW iX1xDrive30 Pack M,,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,,1,474km,,,,,,,,Ouvrant | Panoramique | En verre,,,,,,,,,Shadow Line,,,,,,,Accès mains libres,,6.5heures,10.25'' | BMW Live Plus,,64.8kWh,,,M anthracite,,,,,Éléctrique,,Luxury,,,,,,,,,1 prise 12 V,,,,29minutes,,,,,M Shadow Line à haute brillance,16.9kWh/100 km,,Pack Sport M,
Disponible,SUV,3 ans ou 100.000 KM,5,5,3,Essence,6CV,102CH,150nm1500tr/min,998CM³,Manuelle,5,Traction,4200mm,1760mm,1570mm,420L,14.2s,170KM/H,,,5.9L/100 km,,Frontaux,,,,ESP,Radar de recul | Caméra de recul,EBA | EBD,,Électrique,,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour,En aluminium | 16'',,,2 haut-parleurs,USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 9 pouces,Avant,,Aspect Carbone,,Cuir/Tissu,,Conducteur,,,,En hauteur,,Automatique,À distance,Ecran TFT 3.5'',,Électriques | Avec clignotants intégrés,,Avant/Arrière,56 490 DT TTC,Chery Tiggo 3X1.0 L Turbo  Comfort BVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 prise 12 V,,,,,,,,,,,,,
Sur arrivage,SUV,5 ans ou 100000 km,5,5,3,Essence,6CV,102CH,150nm1500tr/min,998CM³,Automatique,9,Traction,4200mm,1760mm,1570mm,420L,14.2s,170KM/H,,,5.9L/100 km,,Frontaux | Latéraux,,,,ESP,Radar de recul | Caméra de recul,EBA | EBD,,Électrique,,,,Poignées de portes,Feux de jour,En aluminium | 16'',,,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 9 pouces,Avant,,Aspect Carbone,,Cuir/Tissu,,Conducteur,,,Cuir | Multi-fonctions,En hauteur,Démarrage mains libres,Manuelle,À distance,Ecran TFT 3.5'',,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,65 565 DT TTC,Chery Tiggo 3X1.0 L Turbo CVT Luxury,Métallisée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromée | Noire,,Ouvrant,,,,,,,,,Chrome,,,,,,,Démarrage à distance | Accès mains libres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,Berline,5 ans ou 150000 km,5,4,4,Essence,7CV,115CH,141nm3800tr/min,1499CM³,Manuelle,5,Traction,4690mm,1825mm,1482mm,430L,12.4s,180KM/H,N.C,N.C,6.4L/100 km,,Frontaux | Latéraux,,TPMS,,ESP | ASR | TCS,Radar de recul | Caméra de recul,EBD,,,,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 16'',,,4 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 8 pouces,Avant | Arrière,3,,,Similicuir,,Conducteur et passager,,,3 branches | Multi-fonctions | à méplat,En hauteur,,Automatique,À distance,,,Électriques | Avec clignotants intégrés,,Avant/Arrière,63 490 DT TTC,Chery Arrizo 51.5 L  Comfort BVM,Métallisée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,Berline,5 ans ou 150000 km,5,4,4,Essence,7CV,115CH,141nm3800tr/min,1499CM³,Automatique,7,Traction,4690mm,1825mm,1482mm,430L,12.4s,180KM/H,N.C,N.C,6.4L/100 km,,Frontaux | Latéraux,,TPMS,,ESP | ASR | TCS,Radar de recul | Caméra de recul,EBD,,,,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 17'',,,6 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 8 pouces,Avant | Arrière,3,,,Similicuir,Conducteur à réglage électrique | 6 directions,Conducteur et passager,,,3 branches | Multi-fonctions | à méplat,En hauteur,,Automatique | Ventilation arrière,À distance,Ecran TFT 7'',,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,71 490 DT TTC,Chery Arrizo 51.5 L CVT Luxury,Métallisée,,,,,,,,,,,,,,,,,,,,,,,,,,,,Autohold,Chromée,,Ouvrant,,,,,,,,,,,,,,Sport | Eco,,,,,,,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,SUV,2 ans,7,5,4,Essence,9CV,147CH,255nm2400tr/min,1451CM³,Automatique,8,Traction,4655mm,1835mm,1760mm,,N.C,180KM/H,,,9.2L/100 km,,Frontaux | Latéraux,,TPMS,,ESC | ESP | TCS,Radar de recul | Radar avant | Caméra de recul,EBD,,Électrique,,,,,Feux de jour | Arrières,En aluminium | 18'',,,6 haut-parleurs,USB | Apple Carplay | Bluetooth,Tactile | 8 pouces,Avant | Arrière,,,,Tissu,Conducteur à réglage électrique,Conducteur et passager,,,,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,106 796 DT TTC,Chevrolet Captiva1.5 Turbo CVT 7 places,,,,,,,,,,,,,,Chromées,,,,,,,,,,,,,,,HSA,Chromée,,Ouvrant,,,,,,,,,,,,,,Sport | Eco | Winter,,Accès mains libres,,,,,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,,,,,
3 mois | En pré-commande,Compacte,3 ans,5,5,4,Essence,8CV,150CH,250nm1400tr/min,1395CM³,Automatique,8,Traction,4398mm,1992mm,1442mm,380L,8.2s,215KM/H,5.9L/100 km,4.5L/100 km,5L/100 km,,Frontaux | Latéraux | Genoux | Protège-tête,,,,ESC,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Dynamique,,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 18'',,Full LED,Système Audio Beats,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Mirrorlink,Tactile | 12.3 pouces,Avant | Arrière,3,,Cuir,Cuir,Électriques | Chauffants | Réglage lombaire | Fonction mémoire | Sport | Baquets,Conducteur et passager,,Lunette et vitres arrières sur-teintées | Athermiques,Cuir | Chauffant | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | 3 zones,À distance,,,Électriques | Dégivrants | Mémoire de position | Avec clignotants intégrés | Éclairage d'accueil à LED | Carbone/Copper,Anti-éblouissement,Avant/Arrière,141 980 DT TTC,Cupra Leon1.4 TSI Sport,,,,,,,,,,,,,,,Noir,,,,,,,,,,,,,,,,,Ouvrant | Panoramique,,,,,Aluminium,1301L,,,,,,,,Normal | Sport | Eco,XDS,Accès mains libres,,,Digital Cockpit,,,,,Noir,,,,,Éléctrique,,,,,,118g/km,Eclairés | Baguettes dans les baies de porte,,,,220 V,,,,,,,,,,,,,
Disponible,Berline,2 ans ou 100.000 km,5,4,3,Essence,5CV,100CH,160nm2000tr/min,999CM³,Manuelle,5,Traction,4396mm,1848mm,1501mm,528L,12.4s,180KM/H,,,5.5L/100 km,,Frontaux,,,,,,,,,,,,,,15'',,,,,,,,,,Velours/Tissu,,,,,,En hauteur et en profondeur,,Manuelle,À distance,,,,,Avant,61 500 DT TTC,Dacia Logan1.0 L TCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,Berline,2 ans ou 100.000 km,5,4,3,Essence,5CV,100CH,160nm2000tr/min,999CM³,Manuelle,5,Traction,4396mm,1848mm,1501mm,528L,12.4s,180KM/H,,,5.5L/100 km,,Frontaux,,,,,,,,,,,,,,15'',,,,,Tactile,,,,,Velours/Tissu,,,,,,En hauteur et en profondeur,,Manuelle,À distance,,,,,Avant,62 500 DT TTC,Dacia Logan1.0 L TCE Écran tactile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
